ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
1,Bulbasaur,None,Grass,Poison,318,45,49,49,65,65,45,1
2,Ivysaur,None,Grass,Poison,405,60,62,63,80,80,60,1
3,Venusaur,None,Grass,Poison,525,80,82,83,100,100,80,1
4,Charmander,None,Fire,None,309,39,52,43,60,50,65,1
5,Charmeleon,None,Fire,None,405,58,64,58,80,65,80,1
6,Charizard,None,Fire,Flying,534,78,84,78,109,85,100,1
7,Squirtle,None,Water,None,314,44,48,65,50,64,43,1
8,Wartortle,None,Water,None,405,59,63,80,65,80,58,1
9,Blastoise,None,Water,None,530,79,83,100,85,105,78,1
10,Caterpie,None,Bug,None,195,45,30,35,20,20,45,1
11,Metapod,None,Bug,None,205,50,20,55,25,25,30,1
12,Butterfree,None,Bug,Flying,395,60,45,50,90,80,70,1
13,Weedle,None,Bug,Poison,195,40,35,30,20,20,50,1
14,Kakuna,None,Bug,Poison,205,45,25,50,25,25,35,1
15,Beedrill,None,Bug,Poison,395,65,90,40,45,80,75,1
16,Pidgey,None,Normal,Flying,251,40,45,40,35,35,56,1
17,Pidgeotto,None,Normal,Flying,349,63,60,55,50,50,71,1
18,Pidgeot,None,Normal,Flying,479,83,80,75,70,70,101,1
19,Rattata,None,Normal,None,253,30,56,35,25,35,72,1
20,Raticate,None,Normal,None,413,55,81,60,50,70,97,1
21,Spearow,None,Normal,Flying,262,40,60,30,31,31,70,1
22,Fearow,None,Normal,Flying,442,65,90,65,61,61,100,1
23,Ekans,None,Poison,None,288,35,60,44,40,54,55,1
24,Arbok,None,Poison,None,448,60,95,69,65,79,80,1
25,Pikachu,None,Electric,None,320,35,55,40,50,50,90,1
26,Raichu,None,Electric,None,485,60,90,55,90,80,110,1
27,Sandshrew,None,Ground,None,300,50,75,85,20,30,40,1
28,Sandslash,None,Ground,None,450,75,100,110,45,55,65,1
29,Nidoran,Female,Poison,None,275,55,47,52,40,40,41,1
30,Nidorina,None,Poison,None,365,70,62,67,55,55,56,1
31,Nidoqueen,None,Poison,Ground,505,90,92,87,75,85,76,1
32,Nidoran,Male,Poison,None,273,46,57,40,40,40,50,1
33,Nidorino,None,Poison,None,365,61,72,57,55,55,65,1
34,Nidoking,None,Poison,Ground,505,81,102,77,85,75,85,1
35,Clefairy,None,Fairy,None,323,70,45,48,60,65,35,1
36,Clefable,None,Fairy,None,483,95,70,73,95,90,60,1
37,Vulpix,None,Fire,None,299,38,41,40,50,65,65,1
38,Ninetales,None,Fire,None,505,73,76,75,81,100,100,1
39,Jigglypuff,None,Normal,Fairy,270,115,45,20,45,25,20,1
40,Wigglytuff,None,Normal,Fairy,435,140,70,45,85,50,45,1
41,Zubat,None,Poison,Flying,245,40,45,35,30,40,55,1
42,Golbat,None,Poison,Flying,455,75,80,70,65,75,90,1
43,Oddish,None,Grass,Poison,320,45,50,55,75,65,30,1
44,Gloom,None,Grass,Poison,395,60,65,70,85,75,40,1
45,Vileplume,None,Grass,Poison,490,75,80,85,110,90,50,1
46,Paras,None,Bug,Grass,285,35,70,55,45,55,25,1
47,Parasect,None,Bug,Grass,405,60,95,80,60,80,30,1
48,Venonat,None,Bug,Poison,305,60,55,50,40,55,45,1
49,Venomoth,None,Bug,Poison,450,70,65,60,90,75,90,1
50,Diglett,None,Ground,None,265,10,55,25,35,45,95,1
51,Dugtrio,None,Ground,None,425,35,100,50,50,70,120,1
52,Meowth,None,Normal,None,290,40,45,35,40,40,90,1
53,Persian,None,Normal,None,440,65,70,60,65,65,115,1
54,Psyduck,None,Water,None,320,50,52,48,65,50,55,1
55,Golduck,None,Water,None,500,80,82,78,95,80,85,1
56,Mankey,None,Fighting,None,305,40,80,35,35,45,70,1
57,Primeape,None,Fighting,None,455,65,105,60,60,70,95,1
58,Growlithe,None,Fire,None,350,55,70,45,70,50,60,1
59,Arcanine,None,Fire,None,555,90,110,80,100,80,95,1
60,Poliwag,None,Water,None,300,40,50,40,40,40,90,1
61,Poliwhirl,None,Water,None,385,65,65,65,50,50,90,1
62,Poliwrath,None,Water,Fighting,510,90,95,95,70,90,70,1
63,Abra,None,Psychic,None,310,25,20,15,105,55,90,1
64,Kadabra,None,Psychic,None,400,40,35,30,120,70,105,1
65,Alakazam,None,Psychic,None,500,55,50,45,135,95,120,1
66,Machop,None,Fighting,None,305,70,80,50,35,35,35,1
67,Machoke,None,Fighting,None,405,80,100,70,50,60,45,1
68,Machamp,None,Fighting,None,505,90,130,80,65,85,55,1
69,Bellsprout,None,Grass,Poison,300,50,75,35,70,30,40,1
70,Weepinbell,None,Grass,Poison,390,65,90,50,85,45,55,1
71,Victreebel,None,Grass,Poison,490,80,105,65,100,70,70,1
72,Tentacool,None,Water,Poison,335,40,40,35,50,100,70,1
73,Tentacruel,None,Water,Poison,515,80,70,65,80,120,100,1
74,Geodude,None,Rock,Ground,300,40,80,100,30,30,20,1
75,Graveler,None,Rock,Ground,390,55,95,115,45,45,35,1
76,Golem,None,Rock,Ground,495,80,120,130,55,65,45,1
77,Ponyta,None,Fire,None,410,50,85,55,65,65,90,1
78,Rapidash,None,Fire,None,500,65,100,70,80,80,105,1
79,Slowpoke,None,Water,Psychic,315,90,65,65,40,40,15,1
80,Slowbro,None,Water,Psychic,490,95,75,110,100,80,30,1
81,Magnemite,None,Electric,Steel,325,25,35,70,95,55,45,1
82,Magneton,None,Electric,Steel,465,50,60,95,120,70,70,1
83,Farfetch'd,None,Normal,Flying,377,52,90,55,58,62,60,1
84,Doduo,None,Normal,Flying,310,35,85,45,35,35,75,1
85,Dodrio,None,Normal,Flying,470,60,110,70,60,60,110,1
86,Seel,None,Water,None,325,65,45,55,45,70,45,1
87,Dewgong,None,Water,Ice,475,90,70,80,70,95,70,1
88,Grimer,None,Poison,None,325,80,80,50,40,50,25,1
89,Muk,None,Poison,None,500,105,105,75,65,100,50,1
90,Shellder,None,Water,None,305,30,65,100,45,25,40,1
